,t25_i_dlcm_1,t25_i_dlcm_4,tn40_i_dlcm_1,tn40_i_dlcm_4,t125_i_dlcm_1,t125_i_dlcm_4,t25_i_dlcm2_1,t25_i_dlcm2_4,tn40_i_dlcm2_1,tn40_i_dlcm2_4,t125_i_dlcm2_1,t125_i_dlcm2_4,t25_i_lcm_1,t25_i_lcm_4,tn40_i_lcm_1,tn40_i_lcm_4,t125_i_lcm_1,t125_i_lcm_4,name,type,time,OK
15,0.9003223,0.9033891,0.911308,0.9118086,0.8843118,0.9032924,0.9041602,0.9250692,0.9184999,0.943448,0.8928096999999999,0.9161884,0.9427213,0.9588390999999999,0.9455358,0.9539575000000001,0.9351074,0.9618809,dc_SchGtAmcttTtVt_13,Sch,Mon Nov 21 14:11:26 2022,False
16,0.8668007,0.8701703,0.9043822,0.8681231,0.8213514,0.8702555,1.0500079999999998,1.042509,1.061648,1.030412,1.0439010000000002,1.0423280000000001,0.9333797,0.9471527,0.931605,0.9427808999999999,0.9245532,0.9491463,dc_SchGtAmcttTtVt_12,Sch,Mon Nov 21 14:11:26 2022,False
17,0.9681893,1.011519,0.9846327000000001,1.001001,0.9573685000000001,1.0163609999999998,0.8843933,0.923804,0.9106048,0.9278838,0.8587037,0.9256456,0.9461879,0.8966167,0.9645508,0.8981326000000001,0.9218306000000001,0.9035430999999999,dc_SchGtAmcttTtVt_11,Sch,Mon Nov 21 14:11:26 2022,False
18,1.032486,0.9730296,1.063601,0.9518662999999999,1.0011560000000002,0.9945847,0.9134399999999999,0.8986461,0.8838364999999999,0.9091096,0.9430953,0.9010209,0.9953213999999999,0.9343083999999999,0.9937303,0.9350347999999999,0.9803606,0.9374131,dc_SchGtAmcttTtVt_10,Sch,Mon Nov 21 14:11:26 2022,False
19,0.914926,0.9487159,0.8925962000000001,0.9774951999999999,0.9434637,0.9202313000000001,0.9442864,0.9811238,0.9445355000000001,52.108670000000004,0.9388098,0.9859226999999999,0.8861456,0.9530654,0.8861087,0.9517243,0.8835116000000001,0.9538117999999999,dc_SchGtAmcttTtVt_9,Sch,Mon Nov 21 14:11:26 2022,False
20,0.9429037,0.875362,0.9428869999999999,0.8894365,0.9482309999999999,0.8623093000000001,0.8737914999999999,0.8953382,0.8401276,0.9101522,0.9005711,0.8916811,0.9104698,0.9894053999999999,0.9123553,0.9832257,0.9078125,0.9870179,dc_SchGtAmcttTtVt_8,Sch,Mon Nov 21 14:11:26 2022,False
21,0.9351918,1.025375,0.9448783,1.033066,0.9210995000000001,1.017691,0.919899,0.9860812,0.9393045,1.008939,0.9082842,0.9673181000000001,1.0445849999999999,0.9424211,1.06925,0.9491003,1.006305,0.9418298,dc_SchGtAmcttTtVt_7,Sch,Mon Nov 21 14:11:26 2022,False
22,0.8919501000000001,0.9447046,0.8676548999999999,0.9404667999999999,0.9258878,0.9470338,0.8554474,0.9362285,0.8338981,1.981075,0.8769464,0.9523449,0.9246679,0.9798521,0.9168637,0.9651133000000001,0.9192443,0.9874583,dc_SchGtAmcttTtVt_6,Sch,Mon Nov 21 14:11:26 2022,False
23,1.04728,0.9010321,1.054136,0.9159252999999999,1.045491,0.8933633,1.06141,0.8880503000000001,1.045984,0.8975525,1.081005,0.8895358,0.9791081,0.9620545,0.9605839,0.9365736,0.98429,0.9777951,dc_SchGtAmcttTtVt_5,Sch,Mon Nov 21 14:11:26 2022,False
24,0.9097035,0.9031209,0.8874154000000001,0.8887151,0.9334623,0.914331,0.9795145999999999,0.9208491,0.9662784,0.9251356000000001,0.9939103,0.9183762999999999,0.9435458,1.0154569999999998,0.9691359999999999,1.020447,0.910996,1.007625,dc_SchGtAmcttTtVt_4,Sch,Mon Nov 21 14:11:26 2022,False
25,0.8666198,1.031131,0.8550364,1.015345,0.8746363,1.035696,1.042784,0.9707512000000001,1.041102,0.9498639,1.047925,0.9853294,0.9529312999999999,0.9539531,0.9620324000000001,0.9375416000000001,0.9343855999999999,0.9635281,dc_SchGtAmcttTtVt_3,Sch,Mon Nov 21 14:11:26 2022,False
26,0.862831,1.025521,0.8488847,1.015933,0.8819613,1.0312599999999998,0.9855794,0.9321923,0.9748013999999999,0.9360476,0.9996507,0.9319333,0.970958,0.9958505000000001,0.9896575999999999,1.007169,0.9442861,0.9829396,dc_SchGtAmcttTtVt_2,Sch,Mon Nov 21 14:11:26 2022,False
27,0.9085264999999999,0.9313516,0.9089151,0.9461802,0.9032504,0.9217875,0.8722332,0.9015934,0.8734064,-3.688124,0.8683505,0.8991885000000001,1.0316020000000001,0.997286,1.029706,0.9934626999999999,1.0200909999999999,0.9970344,dc_SchGtAmcttTtVt_1,Sch,Mon Nov 21 14:11:26 2022,False
28,1.041395,0.9763434999999999,1.0613,0.9474671,1.022512,0.9972507,0.9461828999999999,0.9888409000000001,0.931049,2.540508,0.9556882999999999,1.004343,1.002597,0.9746954999999999,1.017421,0.9787806,0.9820998999999999,0.9714015,dc_SchGtAmcttTtVt,Sch,Mon Nov 21 14:11:26 2022,False
